date,customer,product,region,revenue,cost,currency,quantity,payment_status,notes
2024-09-11,Acme Corp,Enterprise Plan,US,6999,3390,USD,1,paid,
2024-09-14,Gamma LLC,Basic Plan,US,799.99,432.5,USD,3,paid,
2024-09-17,Epsilon Co,Premium Plan,US,1199.99,689.45,USD,2,pending,New account setup
2024-09-20,BetaCo,Basic Plan,EU,829.5,412.3,EUR,3,paid,
2024-09-23,Theta Ltd,Enterprise Plan,APAC,5699,2730,USD,1,paid,
2024-09-26,Acme Corp,Premium Plan,US,1389.99,812.3,USD,2,paid,
2024-09-29,Zeta Corp,Basic Plan,US,539.99,298.5,USD,2,paid,
2024-10-02,Iota Inc,Enterprise Plan,US,6299,3045,USD,1,paid,
2024-10-05,BetaCo,Premium Plan,EU,1239.5,689.3,EUR,2,paid,
2024-10-08,Delta Inc,Basic Plan,APAC,719.99,398.5,USD,3,paid,
2024-10-11,Acme Corp,Premium Plan,US,1349.99,778.45,USD,2,paid,
2024-10-14,Kappa LLC,Enterprise Plan,US,5499,2630,USD,1,failed,Payment method expired
2024-10-17,Gamma LLC,Premium Plan,US,1399.99,823.45,USD,2,paid,
2024-10-20,Lambda Ltd,Basic Plan,EU,769.5,389.3,EUR,3,paid,
2024-10-23,Zeta Corp,Premium Plan,US,1279.99,712.45,USD,2,paid,
2024-10-26,Acme Corp,Enterprise Plan,US,6799,3290,USD,1,paid,
2024-10-29,BetaCo,Basic Plan,EU,799.5,401.3,EUR,3,paid,
2024-11-01,Mu Inc,Enterprise Plan,US,5999,2890,USD,1,paid,
2024-11-04,Delta Inc,Premium Plan,APAC,1259.99,701.5,USD,2,paid,
2024-11-07,Theta Ltd,Basic Plan,APAC,559.99,312.5,USD,2,paid,
2024-11-10,Acme Corp,Premium Plan,US,1329.99,756.45,USD,2,paid,
2024-11-13,NuCorp,Enterprise Plan,US,5799,2750,USD,1,paid,
2024-11-16,BetaCo,Premium Plan,EU,1289.5,712.3,EUR,2,paid,
2024-11-19,Gamma LLC,Basic Plan,US,829.99,445.3,USD,3,paid,
2024-11-22,Omicron Inc,Premium Plan,EU,1199.5,678.3,EUR,2,paid,
2024-11-25,Acme Corp,Enterprise Plan,US,6899,3345,USD,1,paid,
2024-11-28,Zeta Corp,Basic Plan,US,489.99,267.8,USD,2,paid,
2024-12-01,Pi LLC,Premium Plan,US,1299.99,723.45,USD,2,paid,
2024-12-04,BetaCo,Enterprise Plan,EU,6399,3090,EUR,1,paid,Year-end deal
2024-12-07,Delta Inc,Premium Plan,APAC,1279.99,712.5,USD,2,paid,
2024-12-10,Acme Corp,Basic Plan,US,919.99,489.3,USD,3,paid,
2024-12-13,Rho Inc,Enterprise Plan,US,6199,2980,USD,1,pending,Holiday delay
2024-12-16,Gamma LLC,Premium Plan,US,1419.99,834.5,USD,2,paid,
2024-12-19,Theta Ltd,Basic Plan,APAC,599.99,334.5,USD,2,paid,
2024-12-22,Sigma LLC,Enterprise Plan,US,5899,2845,USD,1,paid,
2024-12-25,Acme Corp,Premium Plan,US,1359.99,789.45,USD,2,paid,
2024-12-28,BetaCo,Basic Plan,EU,839.5,423.3,EUR,3,paid,
2024-12-31,Tau Ltd,Premium Plan,EU,1319.5,745.3,EUR,2,paid,New Year's Eve special
